"Year","Month","Day","Average Heat Index ?C"
"2024","01","01",29
"2024","01","02",28
"2024","01","03",28
"2024","01","04",28
"2024","01","05",28
"2024","01","06",27
"2024","01","07",28
"2024","01","08",27
"2024","01","09",30
"2024","01","10",28
"2024","01","11",27
"2024","01","12",26
"2024","01","13",26
"2024","01","14",25
"2024","01","15",26
"2024","01","16",25
"2024","01","17",25
"2024","01","18",27
"2024","01","19",28
"2024","01","20",27
"2024","01","21",27
"2024","01","22",27
"2024","01","23",28
"2024","01","24",24
"2024","01","25",24
"2024","01","26",24
"2024","01","27",24
"2024","01","28",25
"2024","01","29",25
"2024","01","30",26
"2024","01","31",27
"2024","02","01",27
"2024","02","02",28
"2024","02","03",29
"2024","02","04",29
"2024","02","05",29
"2024","02","06",28
"2024","02","07",28
"2024","02","08",28
"2024","02","09",28
"2024","02","10",28
"2024","02","11",27
"2024","02","12",26
"2024","02","13",27
"2024","02","14",28
"2024","02","15",29
"2024","02","16",27
"2024","02","17",27
"2024","02","18",28
"2024","02","19",28
"2024","02","20",28
"2024","02","21",28
"2024","02","22",28
"2024","02","23",29
"2024","02","24",28
"2024","02","25",28
"2024","02","26",26
"2024","02","27",27
"2024","02","28",27
"2024","02","29",28
"2024","03","01",28
"2024","03","02",26
"2024","03","03",28
"2024","03","04",28
"2024","03","05",27
"2024","03","06",28
"2024","03","07",29
"2024","03","08",28
"2024","03","09",28
"2024","03","10",27
"2024","03","11",27
"2024","03","12",29
"2024","03","13",30
"2024","03","14",28
"2024","03","15",30
"2024","03","16",30
"2024","03","17",28
"2024","03","18",26
"2024","03","19",29
"2024","03","20",28
"2024","03","21",28
"2024","03","22",29
"2024","03","23",30
"2024","03","24",30
"2024","03","25",31
"2024","03","26",32
"2024","03","27",34
"2024","03","28",35
"2024","03","29",32
"2024","03","30",30
"2024","03","31",30
"2024","04","01",31
"2024","04","02",31
"2024","04","03",33
"2024","04","04",34
"2024","04","05",35
"2024","04","06",34
"2024","04","07",33
"2024","04","08",34
"2024","04","09",35
"2024","04","10",33
"2024","04","11",32
"2024","04","12",34
"2024","04","13",34
"2024","04","14",34
"2024","04","15",35
"2024","04","16",33
"2024","04","17",33
"2024","04","18",33
"2024","04","19",33
"2024","04","20",34
"2024","04","21",34
"2024","04","22",37
"2024","04","23",36
